省,地区,结尾,常住人口
安徽省,安徽省,省,59500468
安徽省,安庆市,市,5311379
安徽省,蚌埠市,市,3164467
安徽省,亳州市,市,4850657
安徽省,巢湖市,市,3873102
安徽省,池州市,市,1402518
安徽省,滁州市,市,3937868
安徽省,阜阳市,市,7599913
安徽省,合肥市,市,5702466
安徽省,淮北市,市,2114276
安徽省,淮南市,市,2333896
安徽省,黄山市,市,1358980
安徽省,界首市,市,561956
安徽省,六安市,市,5611701
安徽省,马鞍山市,市,1366302
安徽省,明光市,市,532732
安徽省,宁国市,市,376857
安徽省,天长市,市,602840
安徽省,桐城市,市,664455
安徽省,铜陵市,市,723958
安徽省,芜湖市,市,2263123
安徽省,宿州市,市,5352924
安徽省,宣城市,市,2532938
北京市,北京市,市,19612368
福建省,福安市,市,563640
福建省,福鼎市,市,529534
福建省,福建省,省,36894217
福建省,福清市,市,1234838
福建省,福州市,市,7115369
福建省,建瓯市,市,452174
福建省,建阳市,市,276267.3
福建省,晋江市,市,1986447
福建省,龙海市,市,877762
福建省,龙岩市,市,2559545
福建省,南安市,市,1418451
福建省,南平市,市,2645548
福建省,宁德市,市,2821996
福建省,莆田市,市,2778508
福建省,泉州市,市,8128533
福建省,三明市,市,2503388
福建省,厦门市,市,3531347
福建省,邵武市,市,275112
福建省,石狮市,市,636700
福建省,武夷山市,市,233554
福建省,永安市,市,347042
福建省,漳平市,市,240194
福建省,漳州市,市,4809983
福建省,长乐市,市,682626
甘肃省,白银市,市,1708752
甘肃省,定西市,市,2698624
甘肃省,敦煌市,市,186027
甘肃省,甘肃省,省,25575263
甘肃省,合作市,市,90290
甘肃省,嘉峪关市,市,231853
甘肃省,金昌市,市,464050
甘肃省,酒泉市,市,1095947
甘肃省,兰州市,市,3616163
甘肃省,临夏市,市,274466
甘肃省,陇南市,市,2567718
甘肃省,平凉市,市,2068033
甘肃省,庆阳市,市,2211191
甘肃省,天水市,市,3262549
甘肃省,武威市,市,1815059
甘肃省,玉门市,市,159792
甘肃省,张掖市,市,1199515
广东省,潮州市,市,2669466
广东省,从化市,市,593415
广东省,东莞市,市,8220207
广东省,恩平市,市,492814
广东省,佛山市,市,7197394
广东省,高要市,市,753120
广东省,高州市,市,1288665
广东省,广东省,省,104320459
广东省,广州市,市,12701948
广东省,河源市,市,2950195
广东省,鹤山市,市,494938
广东省,化州市,市,1178809
广东省,惠州市,市,4598402
广东省,江门市,市,4450703
广东省,揭阳市,市,5884347
广东省,开平市,市,699242
广东省,乐昌市,市,397779
广东省,雷州市,市,1427664
广东省,连州市,市,367642
广东省,廉江市,市,1443099
广东省,陆丰市,市,1358265
广东省,罗定市,市,959006
广东省,茂名市,市,5817494
广东省,梅州市,市,4238461
广东省,南雄市,市,316179
广东省,普宁市,市,2055552
广东省,清远市,市,3698412
广东省,汕头市,市,5389328
广东省,汕尾市,市,2935469
广东省,韶关市,市,2826246
广东省,深圳市,市,10358381
广东省,四会市,市,542873
广东省,台山市,市,941095
广东省,吴川市,市,927275
广东省,信宜市,市,913708
广东省,兴宁市,市,962883
广东省,阳春市,市,849504
广东省,阳江市,市,2421748
广东省,英德市,市,941952
广东省,云浮市,市,2367154
广东省,增城市,市,1037109
广东省,湛江市,市,6994832
广东省,肇庆市,市,3916467
广东省,中山市,市,3121275
广东省,珠海市,市,1562530
广西壮族自治区,百色市,市,3466758
广西壮族自治区,北海市,市,1539251
广西壮族自治区,北流市,市,1132216
广西壮族自治区,岑溪市,市,772113
广西壮族自治区,崇左市,市,1994285
广西壮族自治区,东兴市,市,144709
广西壮族自治区,防城港市,市,866927
广西壮族自治区,贵港市,市,4118808
广西壮族自治区,桂林市,市,4747963
广西壮族自治区,桂平市,市,1496904
广西壮族自治区,合山市,市,114496
广西壮族自治区,河池市,市,3369251
广西壮族自治区,贺州市,市,1954072
广西壮族自治区,来宾市,市,2099711
广西壮族自治区,柳州市,市,3758704
广西壮族自治区,南宁市,市,6658742
广西壮族自治区,凭祥市,市,112159
广西壮族自治区,钦州市,市,3079721
广西壮族自治区,梧州市,市,2882200
广西壮族自治区,宜州市,市,558611
广西壮族自治区,玉林市,市,5487368
贵州省,安顺市,市,2297612
贵州省,毕节市,市,1137383
贵州省,赤水市,市,237052
贵州省,都匀市,市,443721
贵州省,福泉市,市,283904
贵州省,贵阳市,市,4322611
贵州省,贵州省,省,34748556
贵州省,凯里市,市,479011
贵州省,六盘水市,市,2851332
贵州省,清镇市,市,467790
贵州省,仁怀市,市,546477
贵州省,铜仁市,市,361670
贵州省,兴义市,市,783120
贵州省,遵义市,市,6127082
海南省,儋州市,市,932356
海南省,东方市,市,408309
海南省,海口市,市,2046170
海南省,海南省,省,8671485
海南省,琼海市,市,483217
海南省,三亚市,市,685408
海南省,万宁市,市,545597
海南省,文昌市,市,537426
海南省,五指山市,市,104119
河北省,安国市,市,370317
河北省,霸州市,市,622975
河北省,保定市,市,11194382
河北省,泊头市,市,584308
河北省,沧州市,市,7134062
河北省,承德市,市,3473201
河北省,定州市,市,1165182
河北省,高碑店市,市,640280
河北省,藁城市,市,775110
河北省,邯郸市,市,9174683
河北省,河北省,省,71854210
河北省,河间市,市,810306
河北省,衡水市,市,4340773
河北省,黄骅市,市,548507
河北省,冀州市,市,362013
河北省,晋州市,市,537679
河北省,廊坊市,市,4358839
河北省,鹿泉市,市,432936
河北省,南宫市,市,469030
河北省,迁安市,市,728160
河北省,秦皇岛市,市,2987605
河北省,任丘市,市,822455
河北省,三河市,市,652042
河北省,沙河市,市,498416
河北省,深州市,市,566087
河北省,石家庄市,市,10163788
河北省,唐山市,市,7577289
河北省,武安市,市,819000
河北省,辛集市,市,615919
河北省,新乐市,市,487652
河北省,邢台市,市,7104103
河北省,张家口市,市,4345485
河北省,涿州市,市,603535
河北省,遵化市,市,737011
河南省,安阳市,市,5173188
河南省,登封市,市,668637
河南省,邓州市,市,1468157
河南省,巩义市,市,807911
河南省,河南省,省,94029939
河南省,鹤壁市,市,1569208
河南省,辉县市,市,740435
河南省,济源市,市,675757
河南省,焦作市,市,3540101
河南省,开封市,市,4676483
河南省,林州市,市,789702
河南省,灵宝市,市,721049
河南省,洛阳市,市,6549941
河南省,漯河市,市,2544266
河南省,孟州市,市,367113
河南省,南阳市,市,10263660
河南省,平顶山市,市,4904701
河南省,濮阳市,市,3598740
河南省,沁阳市,市,447701
河南省,汝州市,市,927934
河南省,三门峡市,市,2234018
河南省,商丘市,市,7362975
河南省,卫辉市,市,495744
河南省,舞钢市,市,313828
河南省,项城市,市,1003698
河南省,新密市,市,797256
河南省,新乡市,市,5708191
河南省,新郑市,市,758128
河南省,信阳市,市,6109106
河南省,许昌市,市,4307488
河南省,偃师市,市,666696
河南省,义马市,市,144779
河南省,荥阳市,市,613804
河南省,永城市,市,1240382
河南省,禹州市,市,1131896
河南省,长葛市,市,687130
河南省,郑州市,市,8627089
河南省,周口市,市,8953793
河南省,驻马店市,市,7231234
黑龙江省,安达市,市,472826
黑龙江省,北安市,市,436444
黑龙江省,大庆市,市,2904532
黑龙江省,富锦市,市,437165
黑龙江省,哈尔滨市,市,10635971
黑龙江省,海林市,市,400859
黑龙江省,海伦市,市,769437
黑龙江省,鹤岗市,市,1058665
黑龙江省,黑河市,市,1673899
黑龙江省,黑龙江省,省,38313991
黑龙江省,虎林市,市,317884
黑龙江省,鸡西市,市,1862165
黑龙江省,佳木斯市,市,2552097
黑龙江省,密山市,市,407451
黑龙江省,牡丹江市,市,2798723
黑龙江省,穆棱市,市,293271
黑龙江省,讷河市,市,625892
黑龙江省,宁安市,市,437452
黑龙江省,七台河市,市,920471
黑龙江省,齐齐哈尔市,市,5367003
黑龙江省,尚志市,市,585386
黑龙江省,双城市,市,825634
黑龙江省,双鸭山市,市,1462626
黑龙江省,绥芬河市,市,132315
黑龙江省,绥化市,市,5418153
黑龙江省,铁力市,市,349369
黑龙江省,同江市,市,179791
黑龙江省,五常市,市,881224
黑龙江省,五大连池市,市,326391
黑龙江省,伊春市,市,1148126
黑龙江省,肇东市,市,903067
湖北省,安陆市,市,568590
湖北省,赤壁市,市,478410
湖北省,大冶市,市,909724
湖北省,丹江口市,市,443755
湖北省,当阳市,市,468293
湖北省,鄂州市,市,1048668
湖北省,恩施市,市,749574
湖北省,广水市,市,755910
湖北省,汉川市,市,1015507
湖北省,洪湖市,市,819446
湖北省,湖北省,省,57237727
湖北省,黄冈市,市,6162069
湖北省,黄石市,市,2429318
湖北省,荆门市,市,2873687
湖北省,荆州市,市,5691707
湖北省,老河口市,市,471482
湖北省,利川市,市,654094
湖北省,麻城市,市,849090
湖北省,潜江市,市,946277
湖北省,十堰市,市,3340841
湖北省,石首市,市,577022
湖北省,松滋市,市,765911
湖北省,随州市,市,2162222
湖北省,天门市,市,1418913
湖北省,武汉市,市,9785388
湖北省,武穴市,市,644247
湖北省,仙桃市,市,1175085
湖北省,咸宁市,市,2462583
湖北省,襄樊市,市,5500307
湖北省,孝感市,市,4814542
湖北省,宜昌市,市,4059686
湖北省,宜城市,市,512530
湖北省,宜都市,市,384598
湖北省,应城市,市,593812
湖北省,枣阳市,市,1004741
湖北省,枝江市,市,495995
湖北省,钟祥市,市,1022514
湖南省,常德市,市,5714623
湖南省,常宁市,市,810447
湖南省,郴州市,市,4583531
湖南省,汩罗市,市,692080
湖南省,衡阳市,市,7148344
湖南省,洪江市,市,477996
湖南省,湖南省,省,65700762
湖南省,怀化市,市,4741673
湖南省,吉首市,市,302065
湖南省,津市市,市,250898
湖南省,耒阳市,市,1151554
湖南省,冷水江市,市,327146
湖南省,醴陵市,市,947387
湖南省,涟源市,市,995515
湖南省,临湘市,市,498319
湖南省,浏阳市,市,1279469
湖南省,娄底市,市,3784634
湖南省,韶山市,市,86036
湖南省,邵阳市,市,7071735
